,Disease.ID,Disorder.name,Gene.symbols,OMIM.ID,Chromosome,Class,Final.Search,description
854,416,"""Dent syndrome, 300009 (3)""","""OCRL, LOCR, OCRL1, NPHL2""",300535,Xq26.1,Renal,Dent syndrome, 
855,420,"""Denys-Drash syndrome, 194080 (3)""",WT1,607102,11p13,Renal,Denys-Drash syndrome,"This is a redirect from a modification of the target's title; for example, its words are rearranged, or punctuation in the name is changed. In cases of modification from distinctly longer or shorter names, please use {{R from long name}} or {{R from short name}}, respectively. For more information follow the bold category link.
Use this rcat instead of {{R from other capitalisation}} and {{R from plural}} in namespaces other than mainspace for those types of modification."
856,422,Dermatofibrosarcoma protuberans (3),"""PDGFB, SIS""",190040,22q12.3-q13.1,Cancer,Dermatofibrosarcoma protuberans,"Dermatofibrosarcoma protuberans (DFSP)  is a very rare tumor. It is a rare neoplasm of the dermis layer of the skin, and is classified as a sarcoma. There is only about one case per million per year. DFSP is a fibrosarcoma, more precisely a cutaneous soft tissue sarcoma. In many respects, the disease behaves as a benign tumor, but in 2â€“5% of cases it can metastasize, so it should be considered to have malignant potential. It occurs most often in adults in their thirties; it has been described congenitally, in children, and the elderly. It accounts for approximately 2â€“6% of soft tissue sarcoma cancers.
"
857,424,"""De Sanctis-Cacchione syndrome, 278800 (3)""","""ERCC6, CKN2, COFS, CSB""",609413,10q11,multiple,De Sanctis-Cacchione syndrome,
858,425,"""Desmoid disease, hereditary, 135290 (3)""","""APC, GS, FPC""",175100,5q21-q22,Cancer,Desmoid disease,
859,426,"""Desmosterolosis, 602398 (3)""","""DHCR24, KIAA0018""",606418,1p33-p31.1,Metabolic,Desmosterolosis,"Desmosterolosis is a defect in cholesterol biosynthesis. It results in an accumulation of desmosterol.
It has been associated with 24-dehydrocholesterol reductase.
"
860,2427,"""Diabetes insipidus, nephrogenic, 304800 (3)""","""AVPR2, DIR, DI1, ADHR""",300538,Xq28,Endocrine,Diabetes insipidus,"Diabetes insipidus (DI) is a condition characterized by excessive thirst and excretion of large amounts of severely dilute urine, with reduction of fluid intake having no effect on the concentration of the urine. There are different types of DI, each with a different set of causes. The most common type in humans is the neurological form, called central DI (CDI), which involves a deficiency of arginine vasopressin (AVP), also known as antidiuretic hormone (ADH). The second common type of DI is nephrogenic diabetes insipidus (NDI), which is due to kidney or nephron dysfunction caused by an insensitivity of the kidneys or nephrons to ADH. DI can also be gestational, or caused by alcohol or some types of drug abuse. DI should not be confused with nocturia.
Although they have a common name, diabetes mellitus and diabetes insipidus are two entirely separate conditions with unrelated mechanisms. Both cause large amounts of urine to be produced (polyuria). However, diabetes insipidus is either a problem with the production of antidiuretic hormone (central diabetes insipidus) or kidney's response to antidiuretic hormone (nephrogenic diabetes insipidus), whereas diabetes mellitus causes polyuria via a process called osmotic diuresis, due to the high blood sugar leaking into the urine and taking excess water along with it.
The number of new cases of diabetes insipidus each year is 3 in 100,000. Diabetes insipidus usually starts in childhood or early adulthood and affects men more commonly than women. The term ""diabetes"" is derived from the Greek word meaning siphon."
861,2427,"""Diabetes insipidus, nephrogenic, autosomal dominant, 125800 (3)""",AQP2,107777,12q13,Endocrine,Diabetes insipidus,"Diabetes insipidus (DI) is a condition characterized by excessive thirst and excretion of large amounts of severely dilute urine, with reduction of fluid intake having no effect on the concentration of the urine. There are different types of DI, each with a different set of causes. The most common type in humans is the neurological form, called central DI (CDI), which involves a deficiency of arginine vasopressin (AVP), also known as antidiuretic hormone (ADH). The second common type of DI is nephrogenic diabetes insipidus (NDI), which is due to kidney or nephron dysfunction caused by an insensitivity of the kidneys or nephrons to ADH. DI can also be gestational, or caused by alcohol or some types of drug abuse. DI should not be confused with nocturia.
Although they have a common name, diabetes mellitus and diabetes insipidus are two entirely separate conditions with unrelated mechanisms. Both cause large amounts of urine to be produced (polyuria). However, diabetes insipidus is either a problem with the production of antidiuretic hormone (central diabetes insipidus) or kidney's response to antidiuretic hormone (nephrogenic diabetes insipidus), whereas diabetes mellitus causes polyuria via a process called osmotic diuresis, due to the high blood sugar leaking into the urine and taking excess water along with it.
The number of new cases of diabetes insipidus each year is 3 in 100,000. Diabetes insipidus usually starts in childhood or early adulthood and affects men more commonly than women. The term ""diabetes"" is derived from the Greek word meaning siphon."
862,2427,"""Diabetes insipidus, nephrogenic, autosomal recessive, 222000 (3)""",AQP2,107777,12q13,Endocrine,Diabetes insipidus,"Diabetes insipidus (DI) is a condition characterized by excessive thirst and excretion of large amounts of severely dilute urine, with reduction of fluid intake having no effect on the concentration of the urine. There are different types of DI, each with a different set of causes. The most common type in humans is the neurological form, called central DI (CDI), which involves a deficiency of arginine vasopressin (AVP), also known as antidiuretic hormone (ADH). The second common type of DI is nephrogenic diabetes insipidus (NDI), which is due to kidney or nephron dysfunction caused by an insensitivity of the kidneys or nephrons to ADH. DI can also be gestational, or caused by alcohol or some types of drug abuse. DI should not be confused with nocturia.
Although they have a common name, diabetes mellitus and diabetes insipidus are two entirely separate conditions with unrelated mechanisms. Both cause large amounts of urine to be produced (polyuria). However, diabetes insipidus is either a problem with the production of antidiuretic hormone (central diabetes insipidus) or kidney's response to antidiuretic hormone (nephrogenic diabetes insipidus), whereas diabetes mellitus causes polyuria via a process called osmotic diuresis, due to the high blood sugar leaking into the urine and taking excess water along with it.
The number of new cases of diabetes insipidus each year is 3 in 100,000. Diabetes insipidus usually starts in childhood or early adulthood and affects men more commonly than women. The term ""diabetes"" is derived from the Greek word meaning siphon."
863,2427,"""Diabetes insipidus, neurohypophyseal, 125700 (3)""","""AVP, AVRP, VP""",192340,20p13,Endocrine,Diabetes insipidus,"Diabetes insipidus (DI) is a condition characterized by excessive thirst and excretion of large amounts of severely dilute urine, with reduction of fluid intake having no effect on the concentration of the urine. There are different types of DI, each with a different set of causes. The most common type in humans is the neurological form, called central DI (CDI), which involves a deficiency of arginine vasopressin (AVP), also known as antidiuretic hormone (ADH). The second common type of DI is nephrogenic diabetes insipidus (NDI), which is due to kidney or nephron dysfunction caused by an insensitivity of the kidneys or nephrons to ADH. DI can also be gestational, or caused by alcohol or some types of drug abuse. DI should not be confused with nocturia.
Although they have a common name, diabetes mellitus and diabetes insipidus are two entirely separate conditions with unrelated mechanisms. Both cause large amounts of urine to be produced (polyuria). However, diabetes insipidus is either a problem with the production of antidiuretic hormone (central diabetes insipidus) or kidney's response to antidiuretic hormone (nephrogenic diabetes insipidus), whereas diabetes mellitus causes polyuria via a process called osmotic diuresis, due to the high blood sugar leaking into the urine and taking excess water along with it.
The number of new cases of diabetes insipidus each year is 3 in 100,000. Diabetes insipidus usually starts in childhood or early adulthood and affects men more commonly than women. The term ""diabetes"" is derived from the Greek word meaning siphon."
864,427,"""Diabetes mellitus, 125853 (3)""","""ABCC8, SUR, PHHI, SUR1""",600509,11p15.1,Endocrine,Diabetes mellitus,"Diabetes mellitus (DM), commonly referred to as diabetes, is a group of metabolic diseases in which there are high blood sugar levels over a prolonged period. Symptoms of high blood sugar include frequent urination, increased thirst, and increased hunger. If left untreated, diabetes can cause many complications. Acute complications can include diabetic ketoacidosis, nonketotic hyperosmolar coma, or death. Serious long-term complications include heart disease, stroke, chronic kidney failure, foot ulcers, and damage to the eyes.
Diabetes is due to either the pancreas not producing enough insulin or the cells of the body not responding properly to the insulin produced. There are three main types of diabetes mellitus:
Type 1 DM results from the pancreas's failure to produce enough insulin. This form was previously referred to as ""insulin-dependent diabetes mellitus"" (IDDM) or ""juvenile diabetes"". The cause is unknown.
Type 2 DM begins with insulin resistance, a condition in which cells fail to respond to insulin properly. As the disease progresses a lack of insulin may also develop. This form was previously referred to as ""non insulin-dependent diabetes mellitus"" (NIDDM) or ""adult-onset diabetes"". The primary cause is excessive body weight and not enough exercise.
Gestational diabetes is the third main form and occurs when pregnant women without a previous history of diabetes develop high blood-sugar levels.
Prevention and treatment involve maintaining a healthy diet, regular physical exercise, a normal body weight, and avoiding use of tobacco. Control of blood pressure and maintaining proper foot care are important for people with the disease. Type 1 DM must be managed with insulin injections. Type 2 DM may be treated with medications with or without insulin. Insulin and some oral medications can cause low blood sugar. Weight loss surgery in those with obesity is sometimes an effective measure in those with type 2 DM. Gestational diabetes usually resolves after the birth of the baby.
As of 2015, an estimated 415 million people had diabetes worldwide, with type 2 DM making up about 90% of the cases. This represents 8.3% of the adult population, with equal rates in both women and men. As of 2014, trends suggested the rate would continue to rise. Diabetes at least doubles a person's risk of early death. From 2012 to 2015, approximately 1.5 to 5.0 million deaths each year resulted from diabetes. The global economic cost of diabetes in 2014 was estimated to be US$612 billion. In the United States, diabetes cost $245 billion in 2012."
865,427,"""Diabetes mellitus, insulin-dependent, 222100 (3)""","""TCF1, HNF1A, MODY3""",142410,12q24.2,Endocrine,Diabetes mellitus,"Diabetes mellitus (DM), commonly referred to as diabetes, is a group of metabolic diseases in which there are high blood sugar levels over a prolonged period. Symptoms of high blood sugar include frequent urination, increased thirst, and increased hunger. If left untreated, diabetes can cause many complications. Acute complications can include diabetic ketoacidosis, nonketotic hyperosmolar coma, or death. Serious long-term complications include heart disease, stroke, chronic kidney failure, foot ulcers, and damage to the eyes.
Diabetes is due to either the pancreas not producing enough insulin or the cells of the body not responding properly to the insulin produced. There are three main types of diabetes mellitus:
Type 1 DM results from the pancreas's failure to produce enough insulin. This form was previously referred to as ""insulin-dependent diabetes mellitus"" (IDDM) or ""juvenile diabetes"". The cause is unknown.
Type 2 DM begins with insulin resistance, a condition in which cells fail to respond to insulin properly. As the disease progresses a lack of insulin may also develop. This form was previously referred to as ""non insulin-dependent diabetes mellitus"" (NIDDM) or ""adult-onset diabetes"". The primary cause is excessive body weight and not enough exercise.
Gestational diabetes is the third main form and occurs when pregnant women without a previous history of diabetes develop high blood-sugar levels.
Prevention and treatment involve maintaining a healthy diet, regular physical exercise, a normal body weight, and avoiding use of tobacco. Control of blood pressure and maintaining proper foot care are important for people with the disease. Type 1 DM must be managed with insulin injections. Type 2 DM may be treated with medications with or without insulin. Insulin and some oral medications can cause low blood sugar. Weight loss surgery in those with obesity is sometimes an effective measure in those with type 2 DM. Gestational diabetes usually resolves after the birth of the baby.
As of 2015, an estimated 415 million people had diabetes worldwide, with type 2 DM making up about 90% of the cases. This represents 8.3% of the adult population, with equal rates in both women and men. As of 2014, trends suggested the rate would continue to rise. Diabetes at least doubles a person's risk of early death. From 2012 to 2015, approximately 1.5 to 5.0 million deaths each year resulted from diabetes. The global economic cost of diabetes in 2014 was estimated to be US$612 billion. In the United States, diabetes cost $245 billion in 2012."
866,427,"""Diabetes mellitus, insulin-dependent, 5, 600320 (3)""","""SUMO4, IDDM5""",608829,6q25,Endocrine,Diabetes mellitus,"Diabetes mellitus (DM), commonly referred to as diabetes, is a group of metabolic diseases in which there are high blood sugar levels over a prolonged period. Symptoms of high blood sugar include frequent urination, increased thirst, and increased hunger. If left untreated, diabetes can cause many complications. Acute complications can include diabetic ketoacidosis, nonketotic hyperosmolar coma, or death. Serious long-term complications include heart disease, stroke, chronic kidney failure, foot ulcers, and damage to the eyes.
Diabetes is due to either the pancreas not producing enough insulin or the cells of the body not responding properly to the insulin produced. There are three main types of diabetes mellitus:
Type 1 DM results from the pancreas's failure to produce enough insulin. This form was previously referred to as ""insulin-dependent diabetes mellitus"" (IDDM) or ""juvenile diabetes"". The cause is unknown.
Type 2 DM begins with insulin resistance, a condition in which cells fail to respond to insulin properly. As the disease progresses a lack of insulin may also develop. This form was previously referred to as ""non insulin-dependent diabetes mellitus"" (NIDDM) or ""adult-onset diabetes"". The primary cause is excessive body weight and not enough exercise.
Gestational diabetes is the third main form and occurs when pregnant women without a previous history of diabetes develop high blood-sugar levels.
Prevention and treatment involve maintaining a healthy diet, regular physical exercise, a normal body weight, and avoiding use of tobacco. Control of blood pressure and maintaining proper foot care are important for people with the disease. Type 1 DM must be managed with insulin injections. Type 2 DM may be treated with medications with or without insulin. Insulin and some oral medications can cause low blood sugar. Weight loss surgery in those with obesity is sometimes an effective measure in those with type 2 DM. Gestational diabetes usually resolves after the birth of the baby.
As of 2015, an estimated 415 million people had diabetes worldwide, with type 2 DM making up about 90% of the cases. This represents 8.3% of the adult population, with equal rates in both women and men. As of 2014, trends suggested the rate would continue to rise. Diabetes at least doubles a person's risk of early death. From 2012 to 2015, approximately 1.5 to 5.0 million deaths each year resulted from diabetes. The global economic cost of diabetes in 2014 was estimated to be US$612 billion. In the United States, diabetes cost $245 billion in 2012."
867,427,"""Diabetes mellitus, insulin-dependent, susceptibility to, 222100 (3)""","""PTPN8, PEP, PTPN22, LYP""",600716,1p13,Endocrine,Diabetes mellitus,"Diabetes mellitus (DM), commonly referred to as diabetes, is a group of metabolic diseases in which there are high blood sugar levels over a prolonged period. Symptoms of high blood sugar include frequent urination, increased thirst, and increased hunger. If left untreated, diabetes can cause many complications. Acute complications can include diabetic ketoacidosis, nonketotic hyperosmolar coma, or death. Serious long-term complications include heart disease, stroke, chronic kidney failure, foot ulcers, and damage to the eyes.
Diabetes is due to either the pancreas not producing enough insulin or the cells of the body not responding properly to the insulin produced. There are three main types of diabetes mellitus:
Type 1 DM results from the pancreas's failure to produce enough insulin. This form was previously referred to as ""insulin-dependent diabetes mellitus"" (IDDM) or ""juvenile diabetes"". The cause is unknown.
Type 2 DM begins with insulin resistance, a condition in which cells fail to respond to insulin properly. As the disease progresses a lack of insulin may also develop. This form was previously referred to as ""non insulin-dependent diabetes mellitus"" (NIDDM) or ""adult-onset diabetes"". The primary cause is excessive body weight and not enough exercise.
Gestational diabetes is the third main form and occurs when pregnant women without a previous history of diabetes develop high blood-sugar levels.
Prevention and treatment involve maintaining a healthy diet, regular physical exercise, a normal body weight, and avoiding use of tobacco. Control of blood pressure and maintaining proper foot care are important for people with the disease. Type 1 DM must be managed with insulin injections. Type 2 DM may be treated with medications with or without insulin. Insulin and some oral medications can cause low blood sugar. Weight loss surgery in those with obesity is sometimes an effective measure in those with type 2 DM. Gestational diabetes usually resolves after the birth of the baby.
As of 2015, an estimated 415 million people had diabetes worldwide, with type 2 DM making up about 90% of the cases. This represents 8.3% of the adult population, with equal rates in both women and men. As of 2014, trends suggested the rate would continue to rise. Diabetes at least doubles a person's risk of early death. From 2012 to 2015, approximately 1.5 to 5.0 million deaths each year resulted from diabetes. The global economic cost of diabetes in 2014 was estimated to be US$612 billion. In the United States, diabetes cost $245 billion in 2012."
868,427,"""Diabetes mellitus, insulin-resistant, with acanthosis nigricans (3)""",INSR,147670,19p13.2,Endocrine,Diabetes mellitus,"Diabetes mellitus (DM), commonly referred to as diabetes, is a group of metabolic diseases in which there are high blood sugar levels over a prolonged period. Symptoms of high blood sugar include frequent urination, increased thirst, and increased hunger. If left untreated, diabetes can cause many complications. Acute complications can include diabetic ketoacidosis, nonketotic hyperosmolar coma, or death. Serious long-term complications include heart disease, stroke, chronic kidney failure, foot ulcers, and damage to the eyes.
Diabetes is due to either the pancreas not producing enough insulin or the cells of the body not responding properly to the insulin produced. There are three main types of diabetes mellitus:
Type 1 DM results from the pancreas's failure to produce enough insulin. This form was previously referred to as ""insulin-dependent diabetes mellitus"" (IDDM) or ""juvenile diabetes"". The cause is unknown.
Type 2 DM begins with insulin resistance, a condition in which cells fail to respond to insulin properly. As the disease progresses a lack of insulin may also develop. This form was previously referred to as ""non insulin-dependent diabetes mellitus"" (NIDDM) or ""adult-onset diabetes"". The primary cause is excessive body weight and not enough exercise.
Gestational diabetes is the third main form and occurs when pregnant women without a previous history of diabetes develop high blood-sugar levels.
Prevention and treatment involve maintaining a healthy diet, regular physical exercise, a normal body weight, and avoiding use of tobacco. Control of blood pressure and maintaining proper foot care are important for people with the disease. Type 1 DM must be managed with insulin injections. Type 2 DM may be treated with medications with or without insulin. Insulin and some oral medications can cause low blood sugar. Weight loss surgery in those with obesity is sometimes an effective measure in those with type 2 DM. Gestational diabetes usually resolves after the birth of the baby.
As of 2015, an estimated 415 million people had diabetes worldwide, with type 2 DM making up about 90% of the cases. This represents 8.3% of the adult population, with equal rates in both women and men. As of 2014, trends suggested the rate would continue to rise. Diabetes at least doubles a person's risk of early death. From 2012 to 2015, approximately 1.5 to 5.0 million deaths each year resulted from diabetes. The global economic cost of diabetes in 2014 was estimated to be US$612 billion. In the United States, diabetes cost $245 billion in 2012."
869,427,"""Diabetes mellitus, insulin-resistant, with acanthosis nigricans and hypertension, 604367 (3)""","""PPARG, PPARG1, PPARG2""",601487,3p25,Endocrine,Diabetes mellitus,"Diabetes mellitus (DM), commonly referred to as diabetes, is a group of metabolic diseases in which there are high blood sugar levels over a prolonged period. Symptoms of high blood sugar include frequent urination, increased thirst, and increased hunger. If left untreated, diabetes can cause many complications. Acute complications can include diabetic ketoacidosis, nonketotic hyperosmolar coma, or death. Serious long-term complications include heart disease, stroke, chronic kidney failure, foot ulcers, and damage to the eyes.
Diabetes is due to either the pancreas not producing enough insulin or the cells of the body not responding properly to the insulin produced. There are three main types of diabetes mellitus:
Type 1 DM results from the pancreas's failure to produce enough insulin. This form was previously referred to as ""insulin-dependent diabetes mellitus"" (IDDM) or ""juvenile diabetes"". The cause is unknown.
Type 2 DM begins with insulin resistance, a condition in which cells fail to respond to insulin properly. As the disease progresses a lack of insulin may also develop. This form was previously referred to as ""non insulin-dependent diabetes mellitus"" (NIDDM) or ""adult-onset diabetes"". The primary cause is excessive body weight and not enough exercise.
Gestational diabetes is the third main form and occurs when pregnant women without a previous history of diabetes develop high blood-sugar levels.
Prevention and treatment involve maintaining a healthy diet, regular physical exercise, a normal body weight, and avoiding use of tobacco. Control of blood pressure and maintaining proper foot care are important for people with the disease. Type 1 DM must be managed with insulin injections. Type 2 DM may be treated with medications with or without insulin. Insulin and some oral medications can cause low blood sugar. Weight loss surgery in those with obesity is sometimes an effective measure in those with type 2 DM. Gestational diabetes usually resolves after the birth of the baby.
As of 2015, an estimated 415 million people had diabetes worldwide, with type 2 DM making up about 90% of the cases. This represents 8.3% of the adult population, with equal rates in both women and men. As of 2014, trends suggested the rate would continue to rise. Diabetes at least doubles a person's risk of early death. From 2012 to 2015, approximately 1.5 to 5.0 million deaths each year resulted from diabetes. The global economic cost of diabetes in 2014 was estimated to be US$612 billion. In the United States, diabetes cost $245 billion in 2012."
870,427,"""Diabetes mellitus, neonatal-onset, 606176 (3)""",GCK,138079,7p15-p13,Endocrine,Diabetes mellitus,"Diabetes mellitus (DM), commonly referred to as diabetes, is a group of metabolic diseases in which there are high blood sugar levels over a prolonged period. Symptoms of high blood sugar include frequent urination, increased thirst, and increased hunger. If left untreated, diabetes can cause many complications. Acute complications can include diabetic ketoacidosis, nonketotic hyperosmolar coma, or death. Serious long-term complications include heart disease, stroke, chronic kidney failure, foot ulcers, and damage to the eyes.
Diabetes is due to either the pancreas not producing enough insulin or the cells of the body not responding properly to the insulin produced. There are three main types of diabetes mellitus:
Type 1 DM results from the pancreas's failure to produce enough insulin. This form was previously referred to as ""insulin-dependent diabetes mellitus"" (IDDM) or ""juvenile diabetes"". The cause is unknown.
Type 2 DM begins with insulin resistance, a condition in which cells fail to respond to insulin properly. As the disease progresses a lack of insulin may also develop. This form was previously referred to as ""non insulin-dependent diabetes mellitus"" (NIDDM) or ""adult-onset diabetes"". The primary cause is excessive body weight and not enough exercise.
Gestational diabetes is the third main form and occurs when pregnant women without a previous history of diabetes develop high blood-sugar levels.
Prevention and treatment involve maintaining a healthy diet, regular physical exercise, a normal body weight, and avoiding use of tobacco. Control of blood pressure and maintaining proper foot care are important for people with the disease. Type 1 DM must be managed with insulin injections. Type 2 DM may be treated with medications with or without insulin. Insulin and some oral medications can cause low blood sugar. Weight loss surgery in those with obesity is sometimes an effective measure in those with type 2 DM. Gestational diabetes usually resolves after the birth of the baby.
As of 2015, an estimated 415 million people had diabetes worldwide, with type 2 DM making up about 90% of the cases. This represents 8.3% of the adult population, with equal rates in both women and men. As of 2014, trends suggested the rate would continue to rise. Diabetes at least doubles a person's risk of early death. From 2012 to 2015, approximately 1.5 to 5.0 million deaths each year resulted from diabetes. The global economic cost of diabetes in 2014 was estimated to be US$612 billion. In the United States, diabetes cost $245 billion in 2012."
871,427,"""Diabetes mellitus, noninsulin-dependent, 125853 (3)""",GCGR,138033,17q25,Endocrine,Diabetes mellitus,"Diabetes mellitus (DM), commonly referred to as diabetes, is a group of metabolic diseases in which there are high blood sugar levels over a prolonged period. Symptoms of high blood sugar include frequent urination, increased thirst, and increased hunger. If left untreated, diabetes can cause many complications. Acute complications can include diabetic ketoacidosis, nonketotic hyperosmolar coma, or death. Serious long-term complications include heart disease, stroke, chronic kidney failure, foot ulcers, and damage to the eyes.
Diabetes is due to either the pancreas not producing enough insulin or the cells of the body not responding properly to the insulin produced. There are three main types of diabetes mellitus:
Type 1 DM results from the pancreas's failure to produce enough insulin. This form was previously referred to as ""insulin-dependent diabetes mellitus"" (IDDM) or ""juvenile diabetes"". The cause is unknown.
Type 2 DM begins with insulin resistance, a condition in which cells fail to respond to insulin properly. As the disease progresses a lack of insulin may also develop. This form was previously referred to as ""non insulin-dependent diabetes mellitus"" (NIDDM) or ""adult-onset diabetes"". The primary cause is excessive body weight and not enough exercise.
Gestational diabetes is the third main form and occurs when pregnant women without a previous history of diabetes develop high blood-sugar levels.
Prevention and treatment involve maintaining a healthy diet, regular physical exercise, a normal body weight, and avoiding use of tobacco. Control of blood pressure and maintaining proper foot care are important for people with the disease. Type 1 DM must be managed with insulin injections. Type 2 DM may be treated with medications with or without insulin. Insulin and some oral medications can cause low blood sugar. Weight loss surgery in those with obesity is sometimes an effective measure in those with type 2 DM. Gestational diabetes usually resolves after the birth of the baby.
As of 2015, an estimated 415 million people had diabetes worldwide, with type 2 DM making up about 90% of the cases. This represents 8.3% of the adult population, with equal rates in both women and men. As of 2014, trends suggested the rate would continue to rise. Diabetes at least doubles a person's risk of early death. From 2012 to 2015, approximately 1.5 to 5.0 million deaths each year resulted from diabetes. The global economic cost of diabetes in 2014 was estimated to be US$612 billion. In the United States, diabetes cost $245 billion in 2012."
872,427,"""Diabetes mellitus, noninsulin-dependent, 125853 (3)""",GPD2,138430,2q24.1,Endocrine,Diabetes mellitus,"Diabetes mellitus (DM), commonly referred to as diabetes, is a group of metabolic diseases in which there are high blood sugar levels over a prolonged period. Symptoms of high blood sugar include frequent urination, increased thirst, and increased hunger. If left untreated, diabetes can cause many complications. Acute complications can include diabetic ketoacidosis, nonketotic hyperosmolar coma, or death. Serious long-term complications include heart disease, stroke, chronic kidney failure, foot ulcers, and damage to the eyes.
Diabetes is due to either the pancreas not producing enough insulin or the cells of the body not responding properly to the insulin produced. There are three main types of diabetes mellitus:
Type 1 DM results from the pancreas's failure to produce enough insulin. This form was previously referred to as ""insulin-dependent diabetes mellitus"" (IDDM) or ""juvenile diabetes"". The cause is unknown.
Type 2 DM begins with insulin resistance, a condition in which cells fail to respond to insulin properly. As the disease progresses a lack of insulin may also develop. This form was previously referred to as ""non insulin-dependent diabetes mellitus"" (NIDDM) or ""adult-onset diabetes"". The primary cause is excessive body weight and not enough exercise.
Gestational diabetes is the third main form and occurs when pregnant women without a previous history of diabetes develop high blood-sugar levels.
Prevention and treatment involve maintaining a healthy diet, regular physical exercise, a normal body weight, and avoiding use of tobacco. Control of blood pressure and maintaining proper foot care are important for people with the disease. Type 1 DM must be managed with insulin injections. Type 2 DM may be treated with medications with or without insulin. Insulin and some oral medications can cause low blood sugar. Weight loss surgery in those with obesity is sometimes an effective measure in those with type 2 DM. Gestational diabetes usually resolves after the birth of the baby.
As of 2015, an estimated 415 million people had diabetes worldwide, with type 2 DM making up about 90% of the cases. This represents 8.3% of the adult population, with equal rates in both women and men. As of 2014, trends suggested the rate would continue to rise. Diabetes at least doubles a person's risk of early death. From 2012 to 2015, approximately 1.5 to 5.0 million deaths each year resulted from diabetes. The global economic cost of diabetes in 2014 was estimated to be US$612 billion. In the United States, diabetes cost $245 billion in 2012."
873,427,"""Diabetes mellitus, noninsulin-dependent, 125853 (3)""","""HNF4A, TCF14, MODY1""",600281,20q12-q13.1,Endocrine,Diabetes mellitus,"Diabetes mellitus (DM), commonly referred to as diabetes, is a group of metabolic diseases in which there are high blood sugar levels over a prolonged period. Symptoms of high blood sugar include frequent urination, increased thirst, and increased hunger. If left untreated, diabetes can cause many complications. Acute complications can include diabetic ketoacidosis, nonketotic hyperosmolar coma, or death. Serious long-term complications include heart disease, stroke, chronic kidney failure, foot ulcers, and damage to the eyes.
Diabetes is due to either the pancreas not producing enough insulin or the cells of the body not responding properly to the insulin produced. There are three main types of diabetes mellitus:
Type 1 DM results from the pancreas's failure to produce enough insulin. This form was previously referred to as ""insulin-dependent diabetes mellitus"" (IDDM) or ""juvenile diabetes"". The cause is unknown.
Type 2 DM begins with insulin resistance, a condition in which cells fail to respond to insulin properly. As the disease progresses a lack of insulin may also develop. This form was previously referred to as ""non insulin-dependent diabetes mellitus"" (NIDDM) or ""adult-onset diabetes"". The primary cause is excessive body weight and not enough exercise.
Gestational diabetes is the third main form and occurs when pregnant women without a previous history of diabetes develop high blood-sugar levels.
Prevention and treatment involve maintaining a healthy diet, regular physical exercise, a normal body weight, and avoiding use of tobacco. Control of blood pressure and maintaining proper foot care are important for people with the disease. Type 1 DM must be managed with insulin injections. Type 2 DM may be treated with medications with or without insulin. Insulin and some oral medications can cause low blood sugar. Weight loss surgery in those with obesity is sometimes an effective measure in those with type 2 DM. Gestational diabetes usually resolves after the birth of the baby.
As of 2015, an estimated 415 million people had diabetes worldwide, with type 2 DM making up about 90% of the cases. This represents 8.3% of the adult population, with equal rates in both women and men. As of 2014, trends suggested the rate would continue to rise. Diabetes at least doubles a person's risk of early death. From 2012 to 2015, approximately 1.5 to 5.0 million deaths each year resulted from diabetes. The global economic cost of diabetes in 2014 was estimated to be US$612 billion. In the United States, diabetes cost $245 billion in 2012."
874,427,"""Diabetes mellitus, noninsulin-dependent, 125853 (3)""",IRS2,600797,13q34,Endocrine,Diabetes mellitus,"Diabetes mellitus (DM), commonly referred to as diabetes, is a group of metabolic diseases in which there are high blood sugar levels over a prolonged period. Symptoms of high blood sugar include frequent urination, increased thirst, and increased hunger. If left untreated, diabetes can cause many complications. Acute complications can include diabetic ketoacidosis, nonketotic hyperosmolar coma, or death. Serious long-term complications include heart disease, stroke, chronic kidney failure, foot ulcers, and damage to the eyes.
Diabetes is due to either the pancreas not producing enough insulin or the cells of the body not responding properly to the insulin produced. There are three main types of diabetes mellitus:
Type 1 DM results from the pancreas's failure to produce enough insulin. This form was previously referred to as ""insulin-dependent diabetes mellitus"" (IDDM) or ""juvenile diabetes"". The cause is unknown.
Type 2 DM begins with insulin resistance, a condition in which cells fail to respond to insulin properly. As the disease progresses a lack of insulin may also develop. This form was previously referred to as ""non insulin-dependent diabetes mellitus"" (NIDDM) or ""adult-onset diabetes"". The primary cause is excessive body weight and not enough exercise.
Gestational diabetes is the third main form and occurs when pregnant women without a previous history of diabetes develop high blood-sugar levels.
Prevention and treatment involve maintaining a healthy diet, regular physical exercise, a normal body weight, and avoiding use of tobacco. Control of blood pressure and maintaining proper foot care are important for people with the disease. Type 1 DM must be managed with insulin injections. Type 2 DM may be treated with medications with or without insulin. Insulin and some oral medications can cause low blood sugar. Weight loss surgery in those with obesity is sometimes an effective measure in those with type 2 DM. Gestational diabetes usually resolves after the birth of the baby.
As of 2015, an estimated 415 million people had diabetes worldwide, with type 2 DM making up about 90% of the cases. This represents 8.3% of the adult population, with equal rates in both women and men. As of 2014, trends suggested the rate would continue to rise. Diabetes at least doubles a person's risk of early death. From 2012 to 2015, approximately 1.5 to 5.0 million deaths each year resulted from diabetes. The global economic cost of diabetes in 2014 was estimated to be US$612 billion. In the United States, diabetes cost $245 billion in 2012."
